ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_V,"{'head': (0.5468, 0.4946), 'spine': (0.5719, 0.5167), 'tail': (0.5905, 0.5423)}",1.9565,8.9329,24.877783,833.6283,833.6283,540.0,540.0
SHRIMP_1,Shrimp_^,"{'head': (0.7202, 0.5389), 'spine': (0.7092, 0.5068), 'tail': (0.677, 0.5033)}",1.9885,9.0794,26.030962,833.6283,833.6283,540.0,540.0
SHRIMP_2,Shrimp_V,"{'head': (0.1817, 0.3105), 'spine': (0.1949, 0.3351), 'tail': (0.2019, 0.3605)}",1.6034,7.3211,13.695065,833.6283,833.6283,540.0,540.0
SHRIMP_3,Shrimp_V,"{'head': (0.4311, 0.3404), 'spine': (0.4115, 0.3206), 'tail': (0.3976, 0.2982)}",1.6237,7.4134,14.219704,833.6283,833.6283,540.0,540.0
SHRIMP_4,Shrimp_Straight,"{'head': (0.6699, 0.3131), 'spine': (0.7036, 0.2927), 'tail': (0.7322, 0.2758)}",2.2419,10.2362,37.614571,833.6283,833.6283,540.0,540.0
SHRIMP_5,Shrimp_V,"{'head': (0.8066, 0.7809), 'spine': (0.7687, 0.8024), 'tail': (0.7293, 0.8143)}",2.4853,11.3474,50.994342,833.6283,833.6283,540.0,540.0
SHRIMP_6,Shrimp_V,"{'head': (0.578, 0.6919), 'spine': (0.5653, 0.7229), 'tail': (0.5471, 0.7489)}",1.9425,8.869,24.348044,833.6283,833.6283,540.0,540.0
SHRIMP_7,Shrimp_^,"{'head': (0.4956, 0.3414), 'spine': (0.524, 0.3514), 'tail': (0.544, 0.3309)}",1.777,8.1135,18.575476,833.6283,833.6283,540.0,540.0
SHRIMP_8,Shrimp_V,"{'head': (0.4378, 0.2291), 'spine': (0.4201, 0.2484), 'tail': (0.3998, 0.2625)}",1.5146,6.9155,11.542704,833.6283,833.6283,540.0,540.0
SHRIMP_9,Shrimp_L,"{'head': (0.7515, 0.6546), 'spine': (0.7319, 0.6274), 'tail': (0.702, 0.6377)}",1.9345,8.8327,23.877558,833.6283,833.6283,540.0,540.0
SHRIMP_10,Shrimp_^,"{'head': (0.2154, 0.6825), 'spine': (0.1726, 0.6687), 'tail': (0.1434, 0.7001)}",2.5818,11.7882,56.971868,833.6283,833.6283,540.0,540.0
SHRIMP_11,Shrimp_Straight,"{'head': (0.3274, 0.5658), 'spine': (0.3527, 0.5886), 'tail': (0.3753, 0.6079)}",1.9698,8.9939,25.514146,833.6283,833.6283,540.0,540.0
SHRIMP_12,Shrimp_V,"{'head': (0.5274, 0.1796), 'spine': (0.5148, 0.2168), 'tail': (0.4955, 0.2485)}",2.2513,10.279,37.90443,833.6283,833.6283,540.0,540.0
SHRIMP_13,Shrimp_V,"{'head': (0.191, 0.5406), 'spine': (0.2024, 0.5084), 'tail': (0.2195, 0.4811)}",1.9556,8.929,24.845179,833.6283,833.6283,540.0,540.0
SHRIMP_14,Shrimp_^,"{'head': (0.2467, 0.8074), 'spine': (0.2605, 0.7651), 'tail': (0.2295, 0.7361)}",2.5475,11.6316,54.731524,833.6283,833.6283,540.0,540.0
SHRIMP_15,Shrimp_Straight,"{'head': (0.5701, 0.3151), 'spine': (0.608, 0.3323), 'tail': (0.64, 0.3484)}",2.4258,11.0758,47.651282,833.6283,833.6283,540.0,540.0
SHRIMP_16,Shrimp_V,"{'head': (0.2782, 0.2512), 'spine': (0.2817, 0.2749), 'tail': (0.2799, 0.2975)}",1.3923,6.3571,8.966299,833.6283,833.6283,540.0,540.0
